geo,name,time,Income per person,GDP total,GDP per capita growth (%)
world,World,1800,1236,1216573903040,
world,World,1801,1235,1219436718270,-0.11
world,World,1802,1236,1224844009157,0.09
world,World,1803,1234,1227093242019,-0.17
world,World,1804,1234,1231808637962,0.03
world,World,1805,1232,1234420098242,-0.15
world,World,1806,1232,1238138323187,-0.06
world,World,1807,1232,1242762662042,0.01
world,World,1808,1226,1241264538758,-0.49
world,World,1809,1226,1246007667620,0.01
world,World,1810,1223,1249697708337,-0.24
world,World,1811,1219,1252667611899,-0.30
world,World,1812,1217,1258000102337,-0.17
world,World,1813,1222,1271796432571,0.43
world,World,1814,1223,1280825854709,0.04
world,World,1815,1225,1291936918003,0.18
world,World,1816,1221,1296923679245,-0.31
world,World,1817,1223,1307875907073,0.14
world,World,1818,1228,1322567734296,0.40
world,World,1819,1226,1330186246892,-0.13
world,World,1820,1232,1345260296958,0.44
world,World,1821,1238,1360830379925,0.50
world,World,1822,1239,1370861222052,0.11
world,World,1823,1245,1385845488198,0.43
world,World,1824,1253,1404226266485,0.66
world,World,1825,1253,1413636005653,0.00
world,World,1826,1254,1424503869519,0.09
world,World,1827,1259,1439838091779,0.39
world,World,1828,1259,1449958005651,0.02
world,World,1829,1261,1461603221313,0.16
world,World,1830,1265,1474922321169,0.31
world,World,1831,1274,1493074209132,0.67
world,World,1832,1287,1515980501828,1.02
world,World,1833,1291,1528188648585,0.34
world,World,1834,1295,1540468271215,0.34
world,World,1835,1311,1566335994800,1.20
world,World,1836,1312,1574659248780,0.06
world,World,1837,1313,1584168110206,0.13
world,World,1838,1324,1604240223687,0.78
world,World,1839,1324,1612391921195,0.04
world,World,1840,1336,1634324192816,0.89
world,World,1841,1339,1644972150416,0.19
world,World,1842,1338,1652085684671,-0.02
world,World,1843,1346,1669124693069,0.59
world,World,1844,1364,1698009589633,1.28
world,World,1845,1368,1710814027532,0.30
world,World,1846,1368,1718726744846,0.01
world,World,1847,1379,1740771533920,0.82
world,World,1848,1384,1755811756439,0.40
world,World,1849,1391,1770819077991,0.45
world,World,1850,1398,1785997978258,0.52
world,World,1851,1414,1811166977633,1.15
world,World,1852,1432,1838701460658,1.32
world,World,1853,1443,1855148831744,0.75
world,World,1854,1456,1874815918589,0.91
world,World,1855,1458,1879637770899,0.10
world,World,1856,1481,1913266189390,1.62
world,World,1857,1501,1941564464079,1.30
world,World,1858,1513,1960861852712,0.81
world,World,1859,1520,1974585685454,0.49
world,World,1860,1544,2010712817595,1.59
world,World,1861,1537,2006807607028,-0.46
world,World,1862,1551,2030227937980,0.87
world,World,1863,1587,2085076620367,2.37
world,World,1864,1604,2114284212829,1.07
world,World,1865,1604,2120197137571,-0.05
world,World,1866,1612,2138169331670,0.51
world,World,1867,1619,2155437737304,0.46
world,World,1868,1646,2198990156265,1.67
world,World,1869,1663,2230584214465,1.04
world,World,1870,1669,2248320603373,0.36
world,World,1871,1682,2276139595409,0.76
world,World,1872,1711,2327061293283,1.71
world,World,1873,1725,2359826867138,0.85
world,World,1874,1747,2403163716341,1.27
world,World,1875,1768,2445007677956,1.17
world,World,1876,1762,2450436842926,-0.34
world,World,1877,1777,2486269797387,0.89
world,World,1878,1791,2520428615623,0.80
world,World,1879,1805,2555478718524,0.78
world,World,1880,1861,2650860004108,3.07
world,World,1881,1886,2705358514819,1.37
world,World,1882,1918,2770007608708,1.66
world,World,1883,1934,2815517273063,0.88
world,World,1884,1944,2850164347362,0.47
world,World,1885,1950,2882162553569,0.35
world,World,1886,1955,2910644525750,0.22
world,World,1887,2014,3021917370539,3.03
world,World,1888,2024,3061387568785,0.53
world,World,1889,2046,3117009129410,1.05
world,World,1890,2074,3183874091914,1.40
world,World,1891,2055,3176480620200,-0.94
world,World,1892,2123,3304362739041,3.31
world,World,1893,2134,3344091354310,0.53
world,World,1894,2177,3434979053148,2.03
world,World,1895,2213,3515369528953,1.65
world,World,1896,2220,3550912546681,0.33
world,World,1897,2291,3688756558154,3.17
world,World,1898,2345,3802828971819,2.38
world,World,1899,2391,3905410320970,1.95
world,World,1900,2410,3965478348391,0.77
world,World,1901,2462,4083124102241,2.15
world,World,1902,2499,4179584301993,1.52
world,World,1903,2530,4268112695867,1.24
world,World,1904,2549,4337555467962,0.75
world,World,1905,2569,4408976192609,0.77
world,World,1906,2656,4598827352660,3.40
world,World,1907,2660,4647098988849,0.17
world,World,1908,2617,4610843067483,-1.65
world,World,1909,2730,4851971975840,4.35
world,World,1910,2748,4922342522560,0.64
world,World,1911,2774,5005953483790,0.93
world,World,1912,2846,5174485739146,2.62
world,World,1913,2897,5302634476584,1.78
world,World,1914,2761,5089394145246,-4.68
world,World,1915,2768,5137282872145,0.24
world,World,1916,2863,5350068553297,3.42
world,World,1917,2782,5235772382636,-2.81
world,World,1918,2702,5119435942123,-2.90
world,World,1919,2698,5151325675762,-0.12
world,World,1920,2686,5166982096727,-0.48
world,World,1921,2678,5193962217737,-0.29
world,World,1922,2812,5499712219592,5.00
world,World,1923,2895,5712397961579,2.97
world,World,1924,3017,6005320030889,4.21
world,World,1925,3120,6265185969420,3.41
world,World,1926,3199,6481811749836,2.54
world,World,1927,3254,6651325292843,1.70
world,World,1928,3326,6860264919418,2.22
world,World,1929,3413,7104343602462,2.61
world,World,1930,3282,6896773076801,-3.84
world,World,1931,3136,6655542200213,-4.44
world,World,1932,2976,6380109450433,-5.09
world,World,1933,2964,6418657984082,-0.42
world,World,1934,3070,6715732013834,3.56
world,World,1935,3224,7126830858405,5.04
world,World,1936,3371,7527713814749,4.54
world,World,1937,3501,7901626129739,3.88
world,World,1938,3474,7922520608304,-0.78
world,World,1939,3604,8299470690101,3.72
world,World,1940,3627,8430971050628,0.65
world,World,1941,3742,8775129030134,3.18
world,World,1942,3800,8982670362320,1.54
world,World,1943,3861,9195972645068,1.61
world,World,1944,3858,9258060066334,-0.08
world,World,1945,3633,8783614119532,-5.82
world,World,1946,3453,8408385043954,-4.97
world,World,1947,3511,8615408325854,1.67
world,World,1948,3671,9083491196624,4.56
world,World,1949,3739,9350968278412,1.87
world,World,1950,3920,9926948187807,4.83
world,World,1951,4088,10548630955259,4.30
world,World,1952,4195,11019749003671,2.60
world,World,1953,4344,11615607649230,3.57
world,World,1954,4375,11903104846908,0.70
world,World,1955,4578,12676871387213,4.65
world,World,1956,4700,13245552318265,2.66
world,World,1957,4773,13693600507901,1.55
world,World,1958,4797,14013606571293,0.50
world,World,1959,4915,14625036603774,2.48
world,World,1960,5072,15370077029937,3.18
world,World,1961,5169,15960452034020,1.93
world,World,1962,5346,16817252371547,3.41
world,World,1963,5515,17684693610891,3.17
world,World,1964,5799,18957476894607,5.14
world,World,1965,5995,19993121821499,3.39
world,World,1966,6199,21094055669561,3.39
world,World,1967,6331,21992125625476,2.13
world,World,1968,6563,23276366155950,3.67
world,World,1969,6808,24649141387215,3.73
world,World,1970,7026,25961604075162,3.20
world,World,1971,7180,27073396936995,2.20
world,World,1972,7399,28458747773793,3.04
world,World,1973,7750,30398558578936,4.74
world,World,1974,7804,31204325630930,0.70
world,World,1975,7812,31823413483808,0.09
world,World,1976,8048,33392596567012,3.03
world,World,1977,8239,34797499396279,2.36
world,World,1978,8452,36332852450295,2.59
world,World,1979,8626,37733314164794,2.05
world,World,1980,8682,38650816364006,0.65
world,World,1981,8692,39383275033014,0.12
world,World,1982,8640,39841357431175,-0.60
world,World,1983,8722,40936327095334,0.95
world,World,1984,8944,42732508319151,2.54
world,World,1985,9073,44134655689325,1.44
world,World,1986,9202,45583631555727,1.42
world,World,1987,9352,47189861646133,1.64
world,World,1988,9554,49096091765740,2.16
world,World,1989,9690,50683658548601,1.42
world,World,1990,9680,51500518755523,-0.10
world,World,1991,9645,52152956431102,-0.36
world,World,1992,9647,52978254937775,0.02
world,World,1993,9658,53835233360494,0.11
world,World,1994,9784,55334226597007,1.30
world,World,1995,9943,57040270422731,1.63
world,World,1996,10168,59149436852400,2.26
world,World,1997,10396,61310513331593,2.25
world,World,1998,10508,62807491571260,1.08
world,World,1999,10732,64993461710701,2.12
world,World,2000,11087,68021596490074,3.31
world,World,2001,11199,69596833264191,1.01
world,World,2002,11359,71490665211675,1.43
world,World,2003,11639,74172152340753,2.46
world,World,2004,12078,77936441566250,3.77
world,World,2005,12475,81506125935569,3.29
world,World,2006,12957,85714138673792,3.87
world,World,2007,13462,90162431761408,3.90
world,World,2008,13652,92569987234274,1.41
world,World,2009,13397,91956580200677,-1.87
world,World,2010,13905,96612637360481,3.79
world,World,2011,14275,100393290712322,2.67
world,World,2012,14555,103589592653955,1.96
world,World,2013,14858,107004515298451,2.08
world,World,2014,15190,110681457746563,2.23
world,World,2015,15517,114378267052840,2.16
world,World,2016,15837,118074580664422,2.06
world,World,2017,16253,122539730555738,2.63
world,World,2018,16636,126813322570418,2.36
world,World,2019,16911,130301767886440,1.65
world,World,2020,16166,125876667272255,-4.41
world,World,2021,16943,133280188232825,4.80
world,World,2022,17498,139029872353906,3.28
world,World,2023,17914,143731709876114,2.38
world,World,2024,18321,148402541483719,2.27
world,World,2025,18735,153175720639957,2.26
world,World,2026,19156,158045932453152,2.24
world,World,2027,19586,163041161862919,2.25
world,World,2028,20019,168097633129351,2.21
world,World,2029,20446,173151689545113,2.13
world,World,2030,20863,178156323313126,2.04
world,World,2031,21267,183093002935419,1.94
world,World,2032,21660,187970294342259,1.85
world,World,2033,22046,192813667609344,1.78
world,World,2034,22428,197655433187383,1.73
world,World,2035,22811,202526020727159,1.71
world,World,2036,23197,207449046272076,1.69
world,World,2037,23588,212440299355015,1.69
world,World,2038,23985,217508694686078,1.68
world,World,2039,24389,222659426824810,1.68
world,World,2040,24799,227895370804500,1.68
world,World,2041,25217,233217938257888,1.68
world,World,2042,25642,238627862492338,1.68
world,World,2043,26074,244126005117504,1.69
world,World,2044,26514,249713150111384,1.69
world,World,2045,26961,255390211920994,1.69
world,World,2046,27416,261158391050976,1.69
world,World,2047,27880,267019127199537,1.69
world,World,2048,28352,272973902051492,1.69
world,World,2049,28832,279024346817341,1.69
world,World,2050,29321,285172167405339,1.70