geo,name,time,Life expectancy 
World,World,1800,30.64
World,World,1801,30.71
World,World,1802,30.6
World,World,1803,30.28
World,World,1804,30.2
World,World,1805,30.78
World,World,1806,30.79
World,World,1807,30.74
World,World,1808,30.71
World,World,1809,30.73
World,World,1810,30.82
World,World,1811,30.82
World,World,1812,30.22
World,World,1813,30.75
World,World,1814,30.71
World,World,1815,30.94
World,World,1816,31.05
World,World,1817,31.06
World,World,1818,31.02
World,World,1819,31
World,World,1820,31.1
World,World,1821,31.15
World,World,1822,31.12
World,World,1823,31.16
World,World,1824,31.12
World,World,1825,31.13
World,World,1826,31.1
World,World,1827,31.19
World,World,1828,31.12
World,World,1829,31.15
World,World,1830,31.19
World,World,1831,31.16
World,World,1832,30.62
World,World,1833,30.55
World,World,1834,31.08
World,World,1835,31.23
World,World,1836,31.28
World,World,1837,30.95
World,World,1838,30.91
World,World,1839,31.29
World,World,1840,31.27
World,World,1841,31.33
World,World,1842,31.29
World,World,1843,31.34
World,World,1844,31.39
World,World,1845,31.45
World,World,1846,31.17
World,World,1847,31.15
World,World,1848,30.78
World,World,1849,30.94
World,World,1850,31.38
World,World,1851,31.06
World,World,1852,30.72
World,World,1853,30.43
World,World,1854,29.88
World,World,1855,29.64
World,World,1856,29.55
World,World,1857,29.73
World,World,1858,29.94
World,World,1859,30.06
World,World,1860,30.15
World,World,1861,30.03
World,World,1862,30.86
World,World,1863,30.99
World,World,1864,31
World,World,1865,31.12
World,World,1866,30.4
World,World,1867,31.39
World,World,1868,31.19
World,World,1869,30.55
World,World,1870,31.36
World,World,1871,31.09
World,World,1872,31.47
World,World,1873,31.67
World,World,1874,31.75
World,World,1875,31.67
World,World,1876,30.21
World,World,1877,29.63
World,World,1878,29.04
World,World,1879,31.11
World,World,1880,31.89
World,World,1881,32.12
World,World,1882,31.95
World,World,1883,32.09
World,World,1884,32.26
World,World,1885,32.28
World,World,1886,32.38
World,World,1887,32.44
World,World,1888,32.33
World,World,1889,32.21
World,World,1890,32.11
World,World,1891,31.81
World,World,1892,31.64
World,World,1893,32.45
World,World,1894,32.68
World,World,1895,32.64
World,World,1896,32.64
World,World,1897,32.32
World,World,1898,33.32
World,World,1899,33.05
World,World,1900,32.17
World,World,1901,33.18
World,World,1902,33.43
World,World,1903,33.63
World,World,1904,33.42
World,World,1905,33.46
World,World,1906,33.59
World,World,1907,33.32
World,World,1908,34.22
World,World,1909,34.39
World,World,1910,34.49
World,World,1911,34.59
World,World,1912,35.08
World,World,1913,35
World,World,1914,34.52
World,World,1915,33.79
World,World,1916,33.88
World,World,1917,33.82
World,World,1918,23
World,World,1919,34.52
World,World,1920,34.75
World,World,1921,35.48
World,World,1922,35.79
World,World,1923,36.62
World,World,1924,37.02
World,World,1925,37.13
World,World,1926,37.59
World,World,1927,36.31
World,World,1928,38.24
World,World,1929,37.48
World,World,1930,38.87
World,World,1931,39.04
World,World,1932,39.1
World,World,1933,38.29
World,World,1934,40.12
World,World,1935,40.64
World,World,1936,40.93
World,World,1937,40.58
World,World,1938,40.98
World,World,1939,41.3
World,World,1940,41.02
World,World,1941,39.62
World,World,1942,38.48
World,World,1943,36.96
World,World,1944,38.29
World,World,1945,39.69
World,World,1946,43.96
World,World,1947,43.94
World,World,1948,46.33
World,World,1949,47.22
World,World,1950,48.25
World,World,1951,48.59
World,World,1952,49.34
World,World,1953,50.04
World,World,1954,51.08
World,World,1955,51.93
World,World,1956,52.83
World,World,1957,53.07
World,World,1958,53.58
World,World,1959,51.42
World,World,1960,50.38
World,World,1961,51.3
World,World,1962,53.75
World,World,1963,55.69
World,World,1964,56.4
World,World,1965,56.96
World,World,1966,57.5
World,World,1967,58.16
World,World,1968,58.47
World,World,1969,58.95
World,World,1970,59.8
World,World,1971,60.14
World,World,1972,60.6
World,World,1973,61
World,World,1974,61.29
World,World,1975,61.64
World,World,1976,61.82
World,World,1977,62.27
World,World,1978,62.55
World,World,1979,62.81
World,World,1980,63.09
World,World,1981,63.31
World,World,1982,63.63
World,World,1983,63.88
World,World,1984,64.15
World,World,1985,64.44
World,World,1986,64.79
World,World,1987,65.02
World,World,1988,65.17
World,World,1989,65.4
World,World,1990,65.55
World,World,1991,65.66
World,World,1992,65.83
World,World,1993,65.89
World,World,1994,65.82
World,World,1995,66.2
World,World,1996,66.48
World,World,1997,66.7
World,World,1998,66.92
World,World,1999,67.1
World,World,2000,67.38
World,World,2001,67.72
World,World,2002,68
World,World,2003,68.33
World,World,2004,68.65
World,World,2005,69.03
World,World,2006,69.54
World,World,2007,69.94
World,World,2008,70.15
World,World,2009,70.56
World,World,2010,70.75
World,World,2011,71.18
World,World,2012,71.54
World,World,2013,71.91
World,World,2014,72.16
World,World,2015,72.37
World,World,2016,72.63
World,World,2017,72.98
World,World,2018,73.2
World,World,2019,73.4
World,World,2020,73.58
World,World,2021,73.75
World,World,2022,73.92
World,World,2023,74.08
World,World,2024,74.25
World,World,2025,74.41
World,World,2026,74.58
World,World,2027,74.74
World,World,2028,74.91
World,World,2029,75.07
World,World,2030,75.23
World,World,2031,75.39
World,World,2032,75.55
World,World,2033,75.7
World,World,2034,75.85
World,World,2035,75.99
World,World,2036,76.13
World,World,2037,76.27
World,World,2038,76.41
World,World,2039,76.54
World,World,2040,76.68
World,World,2041,76.81
World,World,2042,76.94
World,World,2043,77.07
World,World,2044,77.2
World,World,2045,77.32
World,World,2046,77.45
World,World,2047,77.57
World,World,2048,77.69
World,World,2049,77.81
World,World,2050,77.93
World,World,2051,78.05
World,World,2052,78.16
World,World,2053,78.28
World,World,2054,78.39
World,World,2055,78.5
World,World,2056,78.61
World,World,2057,78.72
World,World,2058,78.82
World,World,2059,78.93
World,World,2060,79.03
World,World,2061,79.14
World,World,2062,79.24
World,World,2063,79.34
World,World,2064,79.44
World,World,2065,79.55
World,World,2066,79.65
World,World,2067,79.74
World,World,2068,79.84
World,World,2069,79.94
World,World,2070,80.04
World,World,2071,80.13
World,World,2072,80.23
World,World,2073,80.32
World,World,2074,80.42
World,World,2075,80.51
World,World,2076,80.61
World,World,2077,80.7
World,World,2078,80.79
World,World,2079,80.89
World,World,2080,80.98
World,World,2081,81.07
World,World,2082,81.17
World,World,2083,81.26
World,World,2084,81.35
World,World,2085,81.45
World,World,2086,81.54
World,World,2087,81.63
World,World,2088,81.73
World,World,2089,81.82
World,World,2090,81.92
World,World,2091,82.01
World,World,2092,82.1
World,World,2093,82.2
World,World,2094,82.29
World,World,2095,82.38
World,World,2096,82.48
World,World,2097,82.57
World,World,2098,82.67
World,World,2099,82.76
World,World,2100,82.86